Property,text
Objekt-ID,Wird intern vergeben; dient der eindeutigen Identifikation und Inventarisierung.
Titel,Bekanntmachung des  Handels- und Gewerbewesens vom 31. Oktober 1883 betreffend Ausführungsbestimmungen zur Gewerbeordnung für das Deutsche Reich (Reichs-Gesetzblatt 1883 Seite 177)
Titelvarianten (inkl. Übersetzungen),"Zustaz zu §44, Absatz 2, 56d, 60 Absatz 4 der Gewerbeordnung "
"Urheber*in / Verantwortliche Person (Bitte nutzen sie für die Vergabe des  Gemeinsame Normdatei (GND) die Betaversion des neuen DNB-Katalogs) 
",GND - Link Eingeben
Quelle / Archiv,"Extra-Beilage zum Amtsblatt. Handel- und Gewerbewesen, in: Amtsblatt der  Königlichen Regierung zu Kassel, No. 4, 23.01.1884."
Sichtbare oder rekonstruierbare Personen,"Karl-Heinrich von Boetticher, Stellvertreter des Reichskanzlers "
Entstehungsjahr,1883
Ort der Entstehung / Nutzung,Berlin
Gattung / Genre ,Gesetzestext
Technik,X
Dimensionen:,X
Kurzbeschreibung / Inhaltliche Zusammenfassung,"Gesetzestext zur Erteilung von Wandergewerbescheinen; Versagen bei ausländischen Personen, die als ""Zigeuner"" gelabelt werden "
Antiziganistische / Stigmatisierende Elemente / Ambivalente Elemente,"""II. Gewerbebetrieb der Ausländer im Umherziehen […] 4. Die Ertheilung eines Wandergewerbescheines ist zu versagen, wenn ein Bedürfnis zur Ausstellung von Wandergewerbescheinen für Ausübung des betreffenden Gewerbes im Bezirke der Behörde nicht besthet, oder sobald für das Gewerbe, für welches der Schein nachgesucht wird, die den Verhältnissen des Verwaltungsbeziks der Behörder entsprechende Anzahl von Wandergewerbescheinen ertheilt oder ausgedehnt worden ist (vergl. Ziffer 6). Für das Gewerbe der Topfbinder, der Kesselflicker, der Händler mit Blech- und Drahtwaren und ähnlcihen gegenständen, der Drehorgelspieler und Dudelsackspieler darf ein Wandergewerbeschein außerdem nur solchen Personen ertheilt werden, welche nachweislich in dem nächst vorangegangenen Kalenderjahre einen Wandergewerbeschein fürdasselbe Gewerbe erhalten haben. Zigeunern ist der Wandergewerbeschein stets zu versagen."
Motive / Topoi ,Mobilität; Handel
Narrative / Diskurse,Sozialgeschichte; Polizei; Handel; Mobilität
Historischer Kontext,"Aus Juliane Tatarinov, Kriminalisierung des Ambulanten Gewerbes: Zigeuner- und Wandergewerbepolitik im späten Kaiserreich und in der Weimarer Republik (Frankfurt a.M.: Peter Lang 2015), S. 121-123: So lässt sich die Gewerbeordnung von 1904 und mit ihren Ausführungsbestimmungen als erstes staatlich forciertes Zigeunergesetz lesen und bildet die Grundlage für eine Vielzahl polizeilicher Verordnungen gegen Zigeuner. Die Bezeichnung ‚inländische Zigeuner‘ tauchte hier erstmals explizit in den Ablehnungsgründen für Wandergewerbescheine auf. Dabei stand jedoch nicht die polizeilich konstruierte Zielgruppe der Zigeuner im Vordergrund der Politik, sondern die interessenspolitisch forcierte Rückdrängung des Wandergewerbes als Gewerbezweig unter dem Vorwurf der Bettelei und des Betrugs.
Der Begriff ‚Zigeuner‘ diente dabei zur Versinnbildlichung dieser Vorwürfe. Er wurde bereits in den Ausführungsbestimmungen zur Gewerbeordnung von 1883 benutzt, wobei eine genaue Zuordnung von vornherein vermieden wurde:'„Für das Gewerbe der Topfbinder, der Kesselflicker, der Händler mit Blech- und Drahtwaaren und ähnlichen Gegenständen, der Drehorgelspieler und Dudelsackpfeifer darf ein Wandergewerbeschein außerdem nur solchen Personen ertheilt werden, welche nachweislich in dem nächst vorangegangenen Kalenderjahre einen Wandergewerbeschein für dasselbe Gewerbe erhalten haben. Zigeunern ist der Wandergewerbeschein stets zu versagen.'Die Ausgabe der Reichsgewerbeordnung von 1883 erwähnte Zigeuner nur im Zusammenhang mit ausländischen Wandergewerbetreibenden. Dabei wurden vor allem bestimmte Berufsgruppen als besonders verdächtig markiert. Die Anzahl der Personen, die diese Gewerbearten betrieben, sollte demnach erstens verringert und die Ausstellung von Wandergewerbescheinen zweitens nur bereits bekannten Personen vorbehalten werden. Ausländische Zigeuner wurden hier gesondert benannt ohne jedwede Beschreibung, welche Personen darunter zu fassen seien.
Im kommentierten Gesetzestext von 1904 verwies gleich die erste Fußnote des Paragraphen zu den Ablehnungsgründen auf die neuen Ausführungsbestimmungen hinsichtlich inländischer Zigeuner, die 1883 noch nicht als verdächtig markierte Zielgruppe benannt worden waren.
Die aufgezählten Versagungsgründe, die vor allem die Vernachlässigung der Kinder und die Nichteinhaltung der Schulpflicht betrafen sowie die neuen Vorschriften zur Beaufsichtigung des Wandergewerbes wurden fast wortwörtlich in der zwei Jahre später in Preußen erlassenen „Anweisung zur Bekämpfung der Zigeunerplage“ speziell auf die Zielgruppe der Zigeuner übertragen und nochmals zugespitzt.Die Gewerbeordnung sah bereits 1904 vor, „die Erteilung von Wandergewerbescheinen an inländische Zigeuner nach Möglichkeit zu beschränken“ und die Zigeunereigenschaft im Wandergewerbeschein mit dem Zusatz „zieht nach Zigeunerart im Land umher“ zu markieren, wenn es keine gesetzlichen Möglichkeiten gebe, den Antrag abzulehnen. Weder ein strafrechtlicher Tatbestand noch andere Kriterien wurden zur Abgrenzung der Zielgruppe"" benannt. Die Zigeunerverordnungen beriefen sich im Folgenden wiederum auf die Reichsgewerbeordnung, ohne die diffusen Kriterien zu konkretisieren.
Die auf Zigeuner zielenden Bestimmungen in der Reichsgewerbeordnung wurden in den darauf folgenden Jahren ausgebaut und Ablehnungsgründe direkt mit Zigeunerzuschreibungen kombiniert. So wurde etwa im Kommentar der Reichsgewerbeordnung von 1930 das Wahrsagen als gängiges Zigeunerklischee als Verstoß „gegen die guten Sitten“ vom legitimierten Gewerbebetrieb ausgeschlossen.
Titel III der Gewerbeordnung, der den „Gewerbebetrieb im Umherziehen“ behandelte, war an sich sehr problematisch. Der Streit um Gewerbefreiheit und Freizügigkeit als elementare Prinzipien der liberalen Wirtschaftsordnung hatte seine Wurzeln bereits in den Verhandlungen der Nationalversammlung von 1848, wo die Lager durch die Debatte über eine völlige Deregulierung oder eine mehr oder weniger rigide Beschränkung des Wettbewerbs aufgespaltet waren. Die erste Auflage der Reichsgewerbeordnung im Norddeutschen Bund 1869 garantierte die uneingeschränkte Gewerbefreiheit. Sie wurde jedoch sukzessive eingedämmt. Hinsichtlich der Zurückdrängung des Wandergewerbes waren die Bestimmungen von 1896 maßgeblich. Mit den Ausführungsbestimmungen von 1904 wurde die routinemäßige polizeiliche Überwachung des gesamten Gewerbezweigs eingeführt, was einen Generalverdacht für den ganzen Berufsstand erzeugte. Bereits in der Debatte des Reichstages von 1885 zur Vorbereitung der Gesetzesnovelle von 1896 wurde die geplante Erweiterung des Ermessensspielraums der Polizei stark kritisiert (vgl. Kapitel 2.3).
Paragraph 57 der Reichsgewerbeordnung legte zudem weite Ermessensspielräume für die Ablehnung eines Wandergewerbescheins im individuellen Fall nahe, die großes Potential für behördliche Willkür bargen."""
Agency,"Im Gesetzestext keine, räumt aber Möglichkeit zur Beschwerde ein und diese sind in den Archiven z.T. überliefert"
Verknüpfung ,X
Narrativwandel bei Medienwechsel,X
Rezeptionsweg,X
Provenienz,X
