Property,text
Objekt-ID,Wird intern vergeben; dient der eindeutigen Identifikation und Inventarisierung.
Titel,Zigeuner
Titelvarianten (inkl. Übersetzungen),Zigeuner
Original_varianten (inkl. Übersetzungen),No data
"Urheber*in / Verantwortliche Person (Bitte nutzen sie für die Vergabe des  Gemeinsame Normdatei (GND) die Betaversion des neuen DNB-Katalogs) 
","Nussbaum, Felix.     GND - https://explore.gnd.network/gnd/118589059"
Quelle / Archiv,Felix-Nussbaum-Haus Osnabrück
Sichtbare oder rekonstruierbare Personen,Ein unbekannter Mann 
Entstehungsjahr,1928
Ort der Entstehung / Nutzung,Vermutlich Osnabrück
Gattung / Genre ,Porträt
Technik,Öl auf Leinwand
Dimensionen:,"59 x 44 cm
"
Kurzbeschreibung / Inhaltliche Zusammenfassung,"Porträt eines jungen Mannes. Er trägt bürgerliche Kleidung: kariertes Jackett mit einem gelb-bräunlichen Karomuster auf einem dunkelbraunen Grundton, weißes Hemd und blaue Krawatte. Auf der linken Seite des Jacketts befindet sich ein Flicken. Der Mann hat dunkles, glänzendes, lockiges Haar, das rechts gescheitelt ist. Sein Blick ist noch vorne gerichtet. Er hat buschige Augenbraun und einen angedeuteten Schnurrbart. Der Hintergrund des Bilds ist grau. "
Antiziganistische / Stigmatisierende Elemente / Ambivalente Elemente,"Titel aus heutiger Sicht antiziganistisch. Mann trägt Anzug und Krawatte > das widerspricht gängigen Stereotypen. Keine Exotik, keine Inszenierung von „Andersartigkeit“"
Motive / Topoi ,Angedeutete Armut? (Durch den Flicken auf dem Jackett?)
Narrative / Diskurse,gesellschaftliche Außenseiter
Historischer Kontext,"Spätphase der Weimarer Republik. In den 1920er Jahren, in der Weimarer Republik, waren Romnja gesellschaftlich stark marginalisiert. Sie wurden überwacht, ausgegrenzt und kriminalisiert. Die Tendenzen des aufkommenden Nationalsozialismus sind zur Entstehungszeit des Bilds schon deutlich. Nussbaum selbst gehört als Jude einer marginalisierten Minderheit an und thematisierte in vielen seiner Werke Ausgrenzung und Identität."
Agency,"Individuelle Darstellung mit melancholischem Blick. Mann auf dem Bild als eigener Charakter, nicht als Stereotyp."
Verknüpfung ,"Porträt: Frau (1927) von Felix Nussbaum, 59 x 47,5 cm, Felix-Nussbaum-Haus Osnabrück"
Narrativwandel bei Medienwechsel,No data
Rezeptionsweg,No data
Provenienz,No data
Literatur,"Berger, E., Jaehner, I., Junk, P. u. a. (1995): Felix Nussbaum – Verfemte Kunst. Bramsche, S. 75."
Ausstellungen / Aufführungen / Veröffentlichungen,Felix-Nussbaum-Haus Osnabrück
Objekt- oder Werkteil,"Teil eines Pärchen-Porträts (siehe Verknüpfung), aber eigenes Werk"
Rechte / Lizenzen,No data
Digitalisat-Link/Pfad,https://prometheus.uni-koeln.de/rack-images/dresden/original/MTU3MTQxLmpwZw?_asd=1753789121b13fda10c910075e485c762ba1c3f93e5c754b91
Metadaten-Status,No data
Erfasst von,Stefan Binder
Erfassungsdatum,29.7.25
Kommentar / Anmerkung,No data
Versionsgeschichte,No data
nodeType,Portrait
