Property,text
Objekt-ID,Wird intern vergeben; dient der eindeutigen Identifikation und Inventarisierung.
Titel,"Exposition 1900/ 1900/ L'andalousie/ au/ temps des Maures/ ADMINISTRATION 74 Bd. HAUSSMANN, PARIS 8 "
Titelvarianten (inkl. Übersetzungen),Exp-1900
original_varianten,No data
"Urheber*in / Verantwortliche Person (Bitte nutzen sie für die Vergabe des  Gemeinsame Normdatei (GND) die Betaversion des neuen DNB-Katalogs) 
","Lunois, Alexandre (https://explore.gnd.network/gnd/143486551)
Imprimerie Lemercier, Paris (Druckerei)"
Quelle / Archiv,"Musée Carnavalet, Histoire de Paris 
Inv.Nr.: AFF1598
https://parismuseescollections.paris.fr/zh-hans/node/1020153#infos-principales [zuletzt abgerufen am 07.08.25] "
Sichtbare oder rekonstruierbare Personen,No data
Entstehungsjahr,1900
Ort der Entstehung / Nutzung,"Paris, Frankreich"
Gattung / Genre ,Druckgraphik / Werbeplakat
Technik,Lithographie
Dimensionen:,"
258 x 94 cm
"
Kurzbeschreibung / Inhaltliche Zusammenfassung,"Überlebensgroßes Werbeplakat für die Ausstellung L'Andalousie au temps des Maures (Andalusien zur Zeit der Mauren) auf der Weltausstellung 1900 in Paris.
Inhaltliche Beschreibung laut Archiv: ""Gitane lisant dans la main d'une Espagnole, groupe d'Espagnoles, décor d'inspiration mauresque"" (Gitane, die einer Spanierin aus der Hand liest; Gruppe spanischer Frauen; maurisch inspiriertes Dekor).
Das Plakat kündigt in Figur der alten Handleserin das Unterhaltungsangebot der Wahrsagerei im Programm der Ausstellung an. Zugleich wirbt das Plakat für spanische Tanz-Auftritte in Figur der jungen Spanierin mit den Attributen Manila-Tuch, Volantrock, Fächer und Blume im Haar. Der Gegensatz zwischen der jungen und der alten Frau im Kontext der Wahrsagerei ruft die Figur der La Celestina, der legendären spanischen Kupplerin aus Fernando de Rojas gleichnamiger Tragikomödie (1499), auf. Am unteren Plakatrand ist die Adresse der französischen Betreibergesellschaft der Ausstellung angegeben. Das Plakat ist eines von mehreren Werbeplakaten für die Ausstellung, die von Mitgliedern der Société des Peintres Orientalistes Français gestaltet wurden."
Antiziganistische / Stigmatisierende Elemente / Ambivalente Elemente,"Im Zentrum steht das Motiv des Handlesens. Die Art der Darstellung, wie die alte Handleserin die Hand ihrer jungen Klientin mit spitzem Zeigefinger ihrer knöchernen Hand festhält und dabei alle anderen Figuren in ihren Bann zieht, verleiht dem dargestellten Moment eine ambivalente, gleichermaßen faszinierende wie bedrohliche Wirkung. Die weiblichen Beobachterfiguren im Hintergrund suggerieren, dass diese Form der („abergläubischen”) Unterhaltung insbesondere ein weibliches Publikum adressiert.

Das Motiv beinhaltet zudem eine Zuschreibung von Irrationalität und Aberglaube im Kontrast  zu Intellekt, Vernunft und Logik als Elementen der Selbstbeschreibung der französischen Mehrheitsgesellschaft (Benjamin 2005: 202). 

Hautfarbe, ,Hässlichkeit‘ und Armut (s. Kleidung, Raumausstattung) sind stigmatisierende Elemente, die  die Figur der Handleserin von der Figur der ebenfalls alterisierten, exotisierten Spanierin abgrenzen und einen sozialen Kontrast bei gleichzeitiger räumlicher Nähe erzeugen."
Motive / Topoi ,"Das Plakat rekurriert auf das Motiv des Handlesens. Die Faszination des Motivs liegt in der Ambivalenz der zugrunde liegenden Interaktion begründet: Einer marginalisierten bzw. exkludierten Gruppe von ,Fremden‘ wird die Deutung der Zukunft und des ,Schicksals‘ von Mitgliedern der Mehrheitsgesellschaft anvertraut. Dabei können der Bildformel Momente der Inklusion wie Exklusion eigen sein (Bell/Suckow 2008: 494). Die Ausstellung L'Andalousie au temps des Maures nutzt diese Ambivalenz und Faszination des Motivs für ein kommerzielles Publikumsspektakel."
