Property,text
Objekt-ID,Wird intern vergeben; dient der eindeutigen Identifikation und Inventarisierung.
Titel,Zigeunertaufe in Nordungarn 
Titelvarianten (inkl. Übersetzungen),Zig-Taufe
Original_varianten (inkl. Übersetzungen),No data
"Urheber*in / Verantwortliche Person (Bitte nutzen sie für die Vergabe des  Gemeinsame Normdatei (GND) die Betaversion des neuen DNB-Katalogs) 
",Heinrich Albrecht von Wlislocki  https://portal.dnb.de/opacPresentation?cqlMode=true&reset=true&referrerPosition=0&referrerResultId=idn%3D116997532%26any&query=idn%3D119242958
Quelle / Archiv,Ermittelt aus dem Realbestand der Bibliothek des ;Dokumentations- und Kulturzentrum Deutscher Sinti und Roma (Nicht Online)
Sichtbare oder rekonstruierbare Personen,No data
Entstehungsjahr,1891
Ort der Entstehung / Nutzung,Aus dem text geht Budapest hervor 
Gattung / Genre ,"Aufsatz(Übersätzungen), Lieder Gedichte, Taufsprüche, Segen"
Technik,No data
Dimensionen:,No data
Kurzbeschreibung / Inhaltliche Zusammenfassung,"Beschreibung von Ritualen der Roma die vor der klassischen Kirchlichen Taufe, von Familie, Verwandten, Paten  und in der ganzen Gemeinschaft abgehlten werden. "
Antiziganistische / Stigmatisierende Elemente / Ambivalente Elemente,"Unfortschrittliche, die Motive der Taufsprüche deuten auch auf die Vermeidung von Armut hin. "
Motive / Topoi ,"Urspünglichkeit, Rituale die in der Ebene und bei anderen Landstrichen von Österreich-Ungarn schlängst vergessen sein und in den entfernten Bergen noch bewahrt werden. Wichtige Lebensetappe, die Taufe verbunden mit Glückswünschen für das Leben und Gesundheit. "
Narrative / Diskurse,"Es soll ein Ausschnitt hier Präsentiert werden vom Wahren aber doch weithin vergessenen Leben der Roma. Wo Rituale präsentiert werden die nach dem Autor noch älter als das Christentum sein. Auf die Taufe, einen enorm wichtigen Aspekt des christlichen Lebens einzugehen, den zu dieser Zeit der Großteil der Menschen duchmachte und sie mit den vermeitlichen Ritualen der Roma zu beschreiben, diese aber unkommentiert und nicht eingeordnet stehen zulassen ohne jedwede Behauptungen zu belgen, lässt sich deuten, dass man die Neugier der Menschen für diesen Bereich ansprechen wollte, um doch wieder die Romantik und die Ursprünglichkeit des Roma Lebens aufzeigen zu wollen.  "
Historischer Kontext,No data
Agency,"Es wurden die Rituale nicht eingeordent und mit anderen Roma Gruppen vergliche. Es wurde der Faden der Geschichte gesponnen, dass es nur in den Bergen der Karpaten in Ungarn diese noch gebe. Keine Belege gibt es auch für die Behauptung, dass diese Rituale älter als das Christentum sind. Die uralten Tarditionen verwiesen , die sichdort gehalten hätten würden sich aber behaupten gegen den Fortschritt behaupten würden."
Verknüpfung ,No data
Narrativwandel bei Medienwechsel,No data
Rezeptionsweg,"Es ist eine Zeitungartikel aus: Am Urquell, Bd. 2, 1891 in: Hamburg, S. 19-21. "
Provenienz,No data
Literatur,No data
Ausstellungen / Aufführungen / Veröffentlichungen,No data
Objekt- oder Werkteil,No data
Rechte / Lizenzen,Nach der Zeitung als solches schauen 
Digitalisat-Link/Pfad,Die Zeitschrift und ihre Hintergrunddaten sind erfasst auf wikisource. Sie ist online erfasst und wird zu Verfügunggestellt vom Internet Archiv. https://de.wikisource.org/wiki/Am_Ur-Quell https://archive.org/details/bub_gb_oCcoAAAAYAAJ/page/n29/mode/2up 
Metadaten-Status,Ist eine selbst erstellte PDF- wie damit umgehen?
Erfasst von,No data
Erfassungsdatum,"Dienstag, ‎24. ‎Juni ‎2025, ‏‎14:29:50"
Kommentar / Anmerkung,No data
Versionsgeschichte,No data
nodeType,Song
